OR5J7P	ENST00000534621
SCGB1D1	ENST00000306238
ANKRD18B	ENST00000290943
RP11-21M24.2	ENST00000568827
KNDC1	ENST00000368572
RP11-444D3.1	ENST00000538905
LINC01116	ENST00000295549
PCDHGB7	ENST00000398594
PRDM16	ENST00000270722
CTD-2530H12.7	ENST00000530435
RN7SKP260	ENST00000516907
AC090625.1	ENST00000357130
RP11-702M1.2	ENST00000559855
RNU6-325P	ENST00000411132
MIR548A1	ENST00000385041
RP11-219E7.4	ENST00000553534
EFTUD1P2	ENST00000514817
GABRR3	ENST00000472788
RP11-567J20.2	ENST00000524011
ZNF304	ENST00000443917
RNU7-155P	ENST00000459033
ATF7IP	ENST00000544627
APOM	ENST00000383438
APOM	ENST00000430282
APOM	ENST00000432598
APOM	ENST00000426800
APOM	ENST00000436931
APOM	ENST00000375916
APOM	ENST00000441436
RP1-180M12.1	ENST00000454534
SETD1A	ENST00000262519
DAZ4	ENST00000440066
ASAP2	ENST00000281419
AC144652.1	ENST00000609974
RP11-98I9.4	ENST00000418945
ORC1	ENST00000371566
TNRC6A	ENST00000395799
RP11-548M13.1	ENST00000569661
TGFB2	ENST00000366929
AP000695.6	ENST00000429588
OR4A11P	ENST00000529557
MOB2	ENST00000329957
PABPC1P2	ENST00000471997
MIR604	ENST00000384880
MIR573	ENST00000384964
SEMA3B	ENST00000587144
SEMA3B	ENST00000419007
IRGM	ENST00000522154
HIST1H2AG	ENST00000359193
KRT8P18	ENST00000413425
RPS7P14	ENST00000426405
RP11-241I20.1	ENST00000415903
LINC00557	ENST00000563184
PRSS51	ENST00000523024
WIPF1	ENST00000272746
GDPGP1	ENST00000329600
BANF1P5	ENST00000445285
TMBIM4	ENST00000539652
TMBIM4	ENST00000286424
AC004980.9	ENST00000447046
SULF1	ENST00000260128
C5orf64	ENST00000313303
LARP1B	ENST00000326639
RP5-872K7.7	ENST00000434043
RP11-439L18.1	ENST00000417650
TRIM7	ENST00000274773
RP11-350G8.4	ENST00000449634
CTD-2207O23.10	ENST00000601870
RP11-351N6.1	ENST00000512939
RNU6-987P	ENST00000384759
KIAA0232	ENST00000307659
BCL9L	ENST00000334801
RP11-74E22.6	ENST00000608984
CTD-2071N1.1	ENST00000559749
COG3	ENST00000349995
MAP10	ENST00000418460
RP11-84D1.2	ENST00000568143
CD19	ENST00000538922
ZNF77	ENST00000314531
OR1L3	ENST00000304820
CHCHD2	ENST00000395422
CRB3	ENST00000356762
RP11-68D16.2	ENST00000515413
RP11-795A2.2	ENST00000451768
SARNP	ENST00000552080
ZFP82	ENST00000392161
OR7A18P	ENST00000600416
TNFSF18	ENST00000404377
TMEM174	ENST00000296776
TXNIP	ENST00000582401
TXNIP	ENST00000369317
PIK3C2B	ENST00000367187
RPL18A	ENST00000222247
RNA5SP515	ENST00000597177
RNA5SP515	ENST00000364570
IL22RA2	ENST00000296980
TSEN15P3	ENST00000422363
DLL1	ENST00000366756
NCOA5	ENST00000290231
EIF5AP3	ENST00000589460
SNORD6	ENST00000365444
MIR3117	ENST00000584034
RP11-127B16.1	ENST00000404689
C3orf33	ENST00000340171
TLCD2	ENST00000330676
DPPA3P2	ENST00000557188
RNA5SP266	ENST00000410273
OR5B1P	ENST00000456493
AC009237.17	ENST00000446969
RP11-415A20.1	ENST00000427806
RP11-711C17.2	ENST00000549140
RP11-313E19.1	ENST00000503966
DDX41	ENST00000330503
CTD-2158P22.1	ENST00000487382
CHCHD1	ENST00000372833
CAMKK1	ENST00000381771
KRT1	ENST00000252244
RP11-452C8.1	ENST00000506460
THAP8	ENST00000292894
AC010740.1	ENST00000417035
CTC-471J1.9	ENST00000597886
AC074290.1	ENST00000448883
ATP1A4	ENST00000368081
C17orf49	ENST00000546495
ZNF652P1	ENST00000442420
CTD-2104P17.1	ENST00000452153
RPL37P1	ENST00000432310
RP11-1082A3.1	ENST00000554515
RNF145	ENST00000518802
RP11-425L10.1	ENST00000467930
MIR122	ENST00000385044
RNU6-295P	ENST00000516901
RPL7P14	ENST00000449851
LILRB1	ENST00000427581
LILRB1	ENST00000573527
LILRB1	ENST00000576744
LILRB1	ENST00000604147
RP11-5N19.3	ENST00000565846
RP1-281H8.3	ENST00000406807
AC068533.7	ENST00000450043
SNORD114-2	ENST00000363953
AL109927.1	ENST00000601459
RNU7-115P	ENST00000516433
RP11-81H14.3	ENST00000216407
LAMP5	ENST00000246070
AC006960.5	ENST00000419980
RP11-373E16.1	ENST00000398900
RP13-685P2.7	ENST00000603123
RP11-9L18.2	ENST00000400979
SPESP1	ENST00000310673
CTD-2012K14.6	ENST00000605277
MIR10A	ENST00000548801
ARHGEF9	ENST00000253401
ARHGEF9	ENST00000601443
ROCK1P1	ENST00000608049
SCAP	ENST00000265565
RP11-586K12.13	ENST00000561744
CAMK2N2	ENST00000296238
MIR944	ENST00000401239
IGF2BP1	ENST00000290341
SLC30A7	ENST00000357650
AC073133.2	ENST00000426187
CDY17P	ENST00000414121
OR5M2P	ENST00000529003
RN7SL272P	ENST00000487762
RP11-545E8.1	ENST00000495947
LINC00330	ENST00000414562
RPTN	ENST00000316073
RN7SKP66	ENST00000516681
MTATP6P3	ENST00000581686
SLC35G1	ENST00000427197
RP11-124D9.1	ENST00000466902
ST13P2	ENST00000438916
MTND3P1	ENST00000441336
RP11-87N3.6	ENST00000607863
RP11-87N3.6	ENST00000606889
PLD4	ENST00000540372
SLC43A2	ENST00000382147
RP11-203P2.2	ENST00000435156
SLC2A3P1	ENST00000519666
ADAMTS16	ENST00000274181
RP11-364P22.1	ENST00000507108
RP11-335L23.4	ENST00000609144
DDX18	ENST00000263239
PGBD2	ENST00000329291
RN7SL480P	ENST00000579030
RN7SL480P	ENST00000581481
OSBPL10	ENST00000396556
ZNF844	ENST00000439326
OR10G1P	ENST00000312058
RP1-228P16.7	ENST00000419998
RNU5B-2P	ENST00000363036
RP11-22D3.2	ENST00000564222
MIR4801	ENST00000582704
ERP44	ENST00000262455
LINC00552	ENST00000413535
CTD-2062F14.3	ENST00000553301
MIR425	ENST00000362162
MINOS1-NBL1	ENST00000602662
GJB6	ENST00000241124
RP11-296O14.2	ENST00000432815
RNU7-176P	ENST00000458792
DPF2	ENST00000252268
CTA-384D8.36	ENST00000608319
RP6-43L17.2	ENST00000604173
DEFB108P3	ENST00000527787
RFTN1	ENST00000334133
BNIP3L	ENST00000380629
KRTAP3-2	ENST00000575409
KRTAP3-2	ENST00000391587
OCEL1	ENST00000215061
C10orf107	ENST00000330194
NUP214	ENST00000451030
RP11-510D21.1	ENST00000582726
RP11-505P4.5	ENST00000407268
MIER1	ENST00000401041
NAA35	ENST00000361671
MPP1	ENST00000369534
MPP1	ENST00000599769
CHCHD4P3	ENST00000455954
RP11-55C6.1	ENST00000512950
RP11-44N11.2	ENST00000607710
RP11-195F19.5	ENST00000421828
OR4G11P	ENST00000492842
RP11-22N12.2	ENST00000580309
MIR4420	ENST00000583944
RNU6-755P	ENST00000364400
AC144831.1	ENST00000573312
OR52X1P	ENST00000446117
AHCYP3	ENST00000420053
SC5D	ENST00000264027
CTD-2311B13.2	ENST00000549951
MIR3683	ENST00000580847
WTIP	ENST00000270288
PTDSS2	ENST00000308020
RP11-584P21.2	ENST00000502400
FYTTD1P1	ENST00000424250
RP11-402P6.5	ENST00000427368
RP11-820I16.3	ENST00000592820
KCNK7	ENST00000340313
RP11-6N17.2	ENST00000580282
CTD-2622I13.3	ENST00000600056
RP11-1007J8.1	ENST00000517332
PITPNB	ENST00000455418
SRSF11	ENST00000370950
PRKAG3	ENST00000233944
RAP1A	ENST00000356415
DYNLL2	ENST00000579991
AHSG	ENST00000273784
FOXH1	ENST00000377317
RP4-622L5.7	ENST00000421616
RN7SKP106	ENST00000410832
RPL35P5	ENST00000433398
CPNE7	ENST00000268720
POC1A	ENST00000296484
FBXO25	ENST00000276326
LACE1	ENST00000368977
CCKBR	ENST00000525462
RP11-641D5.2	ENST00000480669
MYO5BP1	ENST00000437055
RP11-104C4.2	ENST00000566387
RPL31P54	ENST00000429803
RP11-30H9.1	ENST00000546905
KIAA0895	ENST00000297063
CASP3P1	ENST00000446037
LPAR3	ENST00000370611
TMBIM1	ENST00000258412
RP11-23E10.3	ENST00000567464
KCNRG	ENST00000312942
RP11-12C17.2	ENST00000436960
RALB	ENST00000474855
RP11-680F20.4	ENST00000524467
FOXP4	ENST00000307972
CHTOP	ENST00000368694
PCDHA6	ENST00000529310
PCDHA6	ENST00000608670
PPP2R5B	ENST00000164133
EEF1GP5	ENST00000434365
EEF1GP5	ENST00000606625
CICP26	ENST00000425003
EIF3LP1	ENST00000554099
OR7E87P	ENST00000532397
SEMA6A	ENST00000257414
MCPH1	ENST00000344683
RASSF10	ENST00000340901
RN7SL376P	ENST00000578594
RP11-876F14.2	ENST00000605877
TMLHE	ENST00000334398
TMLHE	ENST00000597729
MURC	ENST00000307584
BARHL2	ENST00000370445
VPS39	ENST00000348544
RP11-15E18.3	ENST00000589465
RP3-431C21.1	ENST00000440037
RP11-766F14.1	ENST00000508578
TAOK3	ENST00000392533
HMGN2P35	ENST00000412164
RP11-161H23.9	ENST00000553259
MTMR4	ENST00000323456
RP11-10A14.7	ENST00000518589
TPTEP1	ENST00000426585
TMEM56-RWDD3	ENST00000604534
FAM46D	ENST00000308293
CTC-550M4.1	ENST00000467232
RP11-766N7.4	ENST00000510459
FAM214A	ENST00000546305
AC004461.4	ENST00000412461
HNRNPDP1	ENST00000439535
MIR105-1	ENST00000385222
KRTAP13-1	ENST00000355459
FLNB	ENST00000490882
ZDHHC2	ENST00000262096
RP11-476B13.2	ENST00000442640
RIPK2	ENST00000220751
APOL5	ENST00000249044
EPHX3	ENST00000221730
RP11-142I2.1	ENST00000603448
MIR5692A1	ENST00000582551
RP11-128A6.3	ENST00000492994
FABP5P11	ENST00000430910
RN7SL836P	ENST00000476140
RP11-536C10.17	ENST00000548164
RP11-704M14.1	ENST00000505646
CTD-2061E9.1	ENST00000512849
GPX5	ENST00000550775
GPX5	ENST00000412168
RP11-1000B6.3	ENST00000564670
OR6B2	ENST00000402971
ACAD11	ENST00000264990
POU5F2	ENST00000510627
RP11-216N21.1	ENST00000493084
RP11-564A8.8	ENST00000604222
OGDHL	ENST00000374103
RNA5SP399	ENST00000364003
SYNJ2BP	ENST00000256366
RP11-317B7.3	ENST00000502636
RP11-324J13.2	ENST00000508563
AC007136.1	ENST00000589141
ISPD-AS1	ENST00000438573
RP11-359P18.1	ENST00000511619
RGS16	ENST00000367558
PDPK1	ENST00000342085
RP3-395M20.12	ENST00000606645
CNIH3	ENST00000272133
MYH16	ENST00000439784
RP11-569A11.2	ENST00000411431
RP1-228H13.2	ENST00000392713
RP11-135A24.2	ENST00000417447
CDH24	ENST00000267383
LINC00862	ENST00000367355
RP11-495P10.6	ENST00000428035
RP11-495P10.6	ENST00000579306
GOLGA6L4	ENST00000510439
MIF4GD	ENST00000577542
C19orf84	ENST00000574814
STPG1	ENST00000337248
RP1-73A14.1	ENST00000421282
RP1-73A14.1	ENST00000600550
ANKRD30B	ENST00000358984
RP11-798K3.3	ENST00000558436
RAB11AP2	ENST00000545905
MDC1	ENST00000376406
C15orf56	ENST00000319503
U2	ENST00000577078
U2	ENST00000459346
U2	ENST00000459529
MIR593	ENST00000384856
RP11-292F9.1	ENST00000418666
CTD-2373J6.1	ENST00000562820
CEP76	ENST00000262127
AC010982.2	ENST00000450325
TLX1NB	ENST00000445873
OR7E19P	ENST00000442375
RBMY1KP	ENST00000423480
RP13-43E11.1	ENST00000423919
RP5-860P4.2	ENST00000432834
MFSD12	ENST00000398558
RN7SKP229	ENST00000410465
TUBBP6	ENST00000416519
CMTM5	ENST00000339180
PARP4P3	ENST00000510265
CKAP4	ENST00000378026
RPL31P58	ENST00000469001
AC005307.1	ENST00000567877
RP1-102D24.5	ENST00000454439
GSG1	ENST00000324458
RP11-379K17.2	ENST00000493762
RP11-130N24.2	ENST00000603662
FBXO7	ENST00000266087
RP11-322D14.1	ENST00000566704
RNU6-1233P	ENST00000362922
ATP1B1	ENST00000367815
AC093698.4	ENST00000415505
ZNF577	ENST00000301399
KCNJ8	ENST00000240662
NUAK1	ENST00000261402
CACNA1B	ENST00000371355
RNA5SP29	ENST00000410988
TRIM2	ENST00000338700
RP11-960H2.1	ENST00000518653
MIR99A	ENST00000384906
RP11-558F24.2	ENST00000426570
RP11-162D9.1	ENST00000510455
IGLV2-8	ENST00000390317
MORF4	ENST00000447135
MAP3K14	ENST00000344686
Z99756.1	ENST00000458463
RP11-1000B6.2	ENST00000460684
CTC-453G23.8	ENST00000595201
TULP2	ENST00000221399
RP11-925D8.3	ENST00000559334
TPTE2P6	ENST00000440905
RNASE4	ENST00000304704
RP11-798K3.2	ENST00000558071
RPS10P27	ENST00000586795
SRPX	ENST00000378533
FSBP	ENST00000481490
FMO5	ENST00000578284
FMO5	ENST00000254090
C19orf44	ENST00000221671
NARS	ENST00000256854
CTD-2555C10.3	ENST00000559946
IGHVIII-44	ENST00000521827
IGHVIII-44	ENST00000603455
CTA-520D8.2	ENST00000441809
AC073063.10	ENST00000434352
AP001058.3	ENST00000423967
MIR638	ENST00000385237
RP11-331F9.3	ENST00000457044
AC093627.11	ENST00000497017
SET	ENST00000372692
RBBP4	ENST00000373493
PPP3R1	ENST00000409752
RP3-476K8.3	ENST00000423060
OR1E1	ENST00000322608
RP9	ENST00000297157
AC009950.2	ENST00000609120
RP11-783L4.1	ENST00000554187
CBLN2	ENST00000269503
RP11-49K24.4	ENST00000592747
ZBTB43	ENST00000373457
ZNF600	ENST00000338230
RP11-274B21.5	ENST00000461273
ZNF891	ENST00000397313
PNLIPRP1	ENST00000572596
PNLIPRP1	ENST00000358834
RP5-855F14.2	ENST00000429507
AC098826.4	ENST00000433943
SYNGR1	ENST00000328933
SNORD3D	ENST00000573866
HSF5	ENST00000323777
U2AF1L4	ENST00000412391
RP11-77B22.1	ENST00000392642
MLLT11	ENST00000368921
C6orf25	ENST00000447587
C6orf25	ENST00000400071
C6orf25	ENST00000457884
C6orf25	ENST00000415728
C6orf25	ENST00000441161
C6orf25	ENST00000436030
C6orf25	ENST00000375806
HLA-DOB	ENST00000438763
HLA-DOB	ENST00000447178
HLA-DOB	ENST00000454969
HLA-DOB	ENST00000456406
HLA-DOB	ENST00000454286
HLA-DOB	ENST00000426644
RNU2-53P	ENST00000516257
ZNF627	ENST00000361113
EVI2A	ENST00000247270
SPATA33	ENST00000566204
CTC-435M10.6	ENST00000598887
LIG1	ENST00000263274
LINC01160	ENST00000450155
HIGD1AP2	ENST00000446367
AC226118.1	ENST00000515213
RP13-221M14.2	ENST00000437631
HMGN5	ENST00000358130
RPL34P33	ENST00000486062
RP11-63K6.5	ENST00000407031
NRDE2	ENST00000354366
FCHO2	ENST00000341845
GOT2P2	ENST00000450663
CCL20	ENST00000358813
CTD-2521M24.4	ENST00000526892
RP11-356I2.1	ENST00000411615
AP3M2	ENST00000174653
RP1-52D1.1	ENST00000445880
FAM3C	ENST00000359943
TM2D2	ENST00000456397
RP11-496I9.1	ENST00000527620
AP001429.1	ENST00000602568
RP11-680C21.1	ENST00000577346
C11orf54	ENST00000331239
RN7SKP58	ENST00000411010
RP11-162N7.1	ENST00000547819
OR51F5P	ENST00000609912
MIR629	ENST00000385230
GRAMD3	ENST00000513040
CTD-2366F13.2	ENST00000606157
TMEM184A	ENST00000297477
NCAM1	ENST00000524665
NCAM1	ENST00000589067
RP11-1094M14.8	ENST00000587542
RPS3AP46	ENST00000448352
MIR5698	ENST00000577643
LINC01107	ENST00000446979
RP11-713M6.2	ENST00000508555
RNU6-654P	ENST00000364373
AC009948.5	ENST00000453026
RP1-309F20.3	ENST00000441270
RP11-498E11.2	ENST00000508904
VTRNA1-1	ENST00000363120
GNS	ENST00000543646
MYO5B	ENST00000285039
CHCHD3P2	ENST00000550751
FAM132A	ENST00000330388
LCLAT1	ENST00000309052
RP11-440D17.2	ENST00000604755
RP11-214K3.19	ENST00000602741
BIVM-ERCC5	ENST00000602836
RP11-522B15.3	ENST00000558499
RNA5SP330	ENST00000517096
RNU1-132P	ENST00000364300
MUC4	ENST00000463781
RP11-724M22.1	ENST00000505408
NMNAT1P1	ENST00000554095
GLRA2	ENST00000218075
RP11-392B6.1	ENST00000509184
RP11-463H24.1	ENST00000477176
RPS23P5	ENST00000495419
RPS23P5	ENST00000510378
LL21NC02-1C16.1	ENST00000609461
RP4-718N17.2	ENST00000414409
RMST	ENST00000538559
LINC00479	ENST00000412102
SLC28A1	ENST00000286749
SNORA11E	ENST00000598096
SNORA11E	ENST00000408778
AP002856.7	ENST00000441638
RP11-669E14.6	ENST00000570454
GAGE12H	ENST00000381722
GAGE12H	ENST00000596395
RNU1-18P	ENST00000363062
PRSS21	ENST00000005995
RN7SL854P	ENST00000459767
CTC-482H14.5	ENST00000592429
OPCML-IT2	ENST00000533260
SYNE1	ENST00000265368
AP001619.3	ENST00000458654
MIR450A2	ENST00000385022
RNU2-70P	ENST00000410718
RP11-360L9.4	ENST00000523081
RP11-73M18.10	ENST00000602722
RN7SL479P	ENST00000472003
RP1-137K24.1	ENST00000511443
RP11-452G18.1	ENST00000496042
ACLY	ENST00000564506
ACLY	ENST00000352035
LINC01015	ENST00000431265
LINC01015	ENST00000448853
LINC01015	ENST00000444360
LINC01015	ENST00000434657
LINC01015	ENST00000438483
LINC01015	ENST00000457219
LINC01015	ENST00000453238
LINC01015	ENST00000437693
RPL7P57	ENST00000594420
RPL7P57	ENST00000423238
SLC30A9	ENST00000264451
FAM157C	ENST00000570230
KRT17P2	ENST00000300992
AC008269.2	ENST00000438070
RP11-326J18.1	ENST00000491321
AC112220.2	ENST00000434628
AC092641.2	ENST00000440229
ISCA1P4	ENST00000560114
SRL	ENST00000572111
RN7SL646P	ENST00000492969
RP1-223E5.4	ENST00000566170
RNU6-489P	ENST00000364413
LYPD4	ENST00000330743
LYPD4	ENST00000609812
CTD-2117L12.3	ENST00000603797
MEI4	ENST00000602452
PPM1M	ENST00000457351
RP5-1039K5.18	ENST00000609265
RPS27AP3	ENST00000453803
CTD-3193K9.3	ENST00000592440
APOL1	ENST00000319136
GANAB	ENST00000346178
TET1	ENST00000373644
RAN	ENST00000448750
RPS3AP40	ENST00000480160
RP11-497D6.3	ENST00000436295
PHEX-AS1	ENST00000424650
OR51F2	ENST00000322110
RP11-846F4.12	ENST00000483901
CRHR1	ENST00000552724
CRHR1	ENST00000398285
DACT3-AS1	ENST00000500689
IGHV2-26	ENST00000604985
IGHV2-26	ENST00000390611
KLHL33	ENST00000344581
LRRC8D	ENST00000337338
RP11-382B18.3	ENST00000571869
RP11-138E9.2	ENST00000582531
DDX25	ENST00000263576
LIFR-AS1	ENST00000500733
RP5-1050D4.5	ENST00000574260
DEDD2	ENST00000595337
TSHZ2	ENST00000371497
RPL13P12	ENST00000392730
RP11-286B5.1	ENST00000497218
RNU6-1231P	ENST00000517185
RP13-314C10.5	ENST00000366134
RP11-295P22.2	ENST00000604178
TLR6	ENST00000381950
SEMA4G	ENST00000210633
RP11-632B21.1	ENST00000552470
RP11-24M17.5	ENST00000566174
CICP18	ENST00000406017
HDAC2	ENST00000398283
HSPA1A	ENST00000441618
HSPA1A	ENST00000433487
HSPA1A	ENST00000430065
HSPA1A	ENST00000400040
HSPA1A	ENST00000375651
RNA5SP373	ENST00000517271
LINC00276	ENST00000418420
RP1-149L1.1	ENST00000522264
TCEB3B	ENST00000332567
RP11-226P1.1	ENST00000492764
UFL1-AS1	ENST00000430796
PIP	ENST00000291009
HMGN2P9	ENST00000476875
RP4-539M6.21	ENST00000608952
RNU6-828P	ENST00000364876
FSCN1	ENST00000382361
AC009414.1	ENST00000427200
AC009414.1	ENST00000576404
KIFC3	ENST00000595318
KIFC3	ENST00000541240
RP11-5P22.1	ENST00000414951
AGPS	ENST00000264167
KIF4B	ENST00000435029
RAB2A	ENST00000262646
NIT1	ENST00000368009
EIF1AY	ENST00000361365
RPL23AP82	ENST00000596444
RPL23AP82	ENST00000480246
CBX3P8	ENST00000532412
MRPS18CP4	ENST00000535821
GPRC5D	ENST00000228887
DPY19L2P3	ENST00000414296
CCT4P2	ENST00000233836
SLC25A53	ENST00000357421
SLC25A53	ENST00000594199
RP11-369G6.2	ENST00000600819
FABP5P12	ENST00000515543
RN7SKP264	ENST00000411080
RP11-496H15.2	ENST00000456484
PLA2G4B	ENST00000542534
CTD-2014N11.2	ENST00000561335
CD80	ENST00000264246
RPEP1	ENST00000504507
OR8Q1P	ENST00000526467
RP11-3K16.2	ENST00000469794
SERPINC1	ENST00000367698
TMPRSS11E	ENST00000305363
GYPB	ENST00000283126
RP11-271M24.2	ENST00000568856
CTD-3099C6.11	ENST00000596451
OR8B5P	ENST00000533932
ZNF92	ENST00000328747
WASH2P	ENST00000538033
RP11-420H19.3	ENST00000455434
SUSD5	ENST00000309558
OSTCP2	ENST00000437956
SSXP1	ENST00000601233
SSXP1	ENST00000441704
NDUFA3P4	ENST00000560814
SRRM5	ENST00000526798
AC012507.3	ENST00000415628
RN7SKP157	ENST00000516174
FNDC4	ENST00000264703
RP11-686F15.2	ENST00000566418
LSM5	ENST00000450169
PWP1	ENST00000412830
RP11-715J22.2	ENST00000563775
RPSAP53	ENST00000433498
RP11-43A14.1	ENST00000520760
MLC1	ENST00000311597
RNU6ATAC38P	ENST00000408119
TVP23BP1	ENST00000557500
HAUS6P1	ENST00000421150
CTD-2331D11.4	ENST00000511602
KDM5C	ENST00000602020
KDM5C	ENST00000375401
RP11-217B7.2	ENST00000435915
RP11-1100L3.7	ENST00000550301
RNA5SP320	ENST00000516263
RP11-264B17.5	ENST00000561471
TUSC5	ENST00000333813
CTD-3037G24.3	ENST00000564505
ZNF736P10Y	ENST00000403990
MAP6	ENST00000304771
RPL35A	ENST00000448864
CTD-2555I5.1	ENST00000532605
RP11-371E8.2	ENST00000553543
RP11-98L5.5	ENST00000430816
RP5-1136G13.2	ENST00000610085
RP11-481J13.1	ENST00000606639
ZNF728	ENST00000594710
BPTF	ENST00000321892
BPTF	ENST00000573834
RNU1-140P	ENST00000365040
DLEU2L	ENST00000340052
R3HDM1	ENST00000409606
RP11-707M1.7	ENST00000532682
RP11-502M1.1	ENST00000515689
FAM66C	ENST00000544214
PA2G4	ENST00000303305
OR6N1	ENST00000335094
LINC01154	ENST00000548617
PEBP1P3	ENST00000455475
PEBP1P3	ENST00000575117
MIR514B	ENST00000599782
MIR514B	ENST00000516774
RPS15AP38	ENST00000413110
MIR215	ENST00000384858
PRDM9	ENST00000296682
NUCB1-AS1	ENST00000416432
KB-1125A3.11	ENST00000609825
UQCRB	ENST00000521036
RBMX2	ENST00000305536
RN7SL174P	ENST00000475578
IGSF3	ENST00000318837
RNA5SP143	ENST00000516936
AC007743.1	ENST00000596663
FLOT1	ENST00000383562
FLOT1	ENST00000383382
FLOT1	ENST00000446072
FLOT1	ENST00000444632
FLOT1	ENST00000430384
FLOT1	ENST00000376389
FLOT1	ENST00000420604
FLOT1	ENST00000436822
RP11-10I6.2	ENST00000588916
EXOSC9	ENST00000379663
RP11-490O24.2	ENST00000434552
NCKAP5L	ENST00000335999
LINC01091	ENST00000514823
C9orf92	ENST00000380683
CTD-3080F16.3	ENST00000517495
RP11-395D3.1	ENST00000443163
OR6D1P	ENST00000436165
OR6D1P	ENST00000573194
RP11-175D17.3	ENST00000438380
RP5-1198O20.4	ENST00000434244
HAND2	ENST00000359562
RP11-553A10.1	ENST00000383686
RP5-1125A11.4	ENST00000451556
NMUR2	ENST00000255262
RP11-572F4.1	ENST00000485799
NFRKB	ENST00000524794
LINC00333	ENST00000446314
RP11-356I2.4	ENST00000606998
RP3-403L10.3	ENST00000446768
ZNF587	ENST00000339656
AC144568.2	ENST00000518652
CD5	ENST00000347785
AC093106.4	ENST00000437271
PRRC2B	ENST00000357304
RP11-138P22.1	ENST00000581901
RP11-666E17.1	ENST00000554814
RP11-536C10.9	ENST00000551315
RP11-1236K1.11	ENST00000528817
TTC39B	ENST00000512701
RP11-118G23.1	ENST00000577584
ZNF195	ENST00000399602
PAFAH1B3	ENST00000262890
AC132008.1	ENST00000394682
MORF4L1P6	ENST00000418771
NR2F2-AS1	ENST00000502125
RPL4	ENST00000307961
SRP9P1	ENST00000318333
KCNMB2	ENST00000358316
TMEM97	ENST00000226230
TMEM97	ENST00000576254
STK17A	ENST00000319357
RP11-188C12.2	ENST00000421194
RNU4-21P	ENST00000362802
RP11-577N1.1	ENST00000518078
SEC61B	ENST00000223641
SLC38A6	ENST00000354886
VWA5A	ENST00000392748
RNU1-35P	ENST00000362782
GLTSCR1	ENST00000396720
PDHA2	ENST00000295266
AC103881.1	ENST00000450667
METRN	ENST00000568223
POLR3E	ENST00000299853
KRTAP17-1	ENST00000334202
KRTAP17-1	ENST00000574858
RP11-272L13.3	ENST00000602672
SPATA12	ENST00000334325
HTR4	ENST00000360693
ATOH8	ENST00000306279
AC007322.7	ENST00000426526
RN7SKP2	ENST00000517003
FAM49A	ENST00000355549
MIR4779	ENST00000579234
RP11-660M5.1	ENST00000604448
SHKBP1	ENST00000291842
AARS	ENST00000261772
RP11-223I10.1	ENST00000568958
RP11-252A24.5	ENST00000567148
RP11-69H7.4	ENST00000565381
RP11-989F5.3	ENST00000542821
CTD-2062O1.1	ENST00000494052
TMEM235	ENST00000421688
VCPKMT	ENST00000395860
DEPDC5	ENST00000382112
TARSL2	ENST00000335968
RP11-501H19.2	ENST00000450488
NFATC2IP	ENST00000320805
RN7SKP102	ENST00000411186
RNU7-60P	ENST00000515938
RP11-135M8__A.1	ENST00000405153
WWP2	ENST00000356003
DPRXP6	ENST00000603022
RN7SKP123	ENST00000410732
CTB-105L4.2	ENST00000519892
FMO7P	ENST00000436045
CDH5	ENST00000341529
RP11-697N18.4	ENST00000602578
RP11-165N19.2	ENST00000451825
RP11-598F7.4	ENST00000562016
RP11-598F7.4	ENST00000571148
RP11-598F7.4	ENST00000508953
RPS10P16	ENST00000483812
PCNT	ENST00000359568
U91328.21	ENST00000608931
AC141586.5	ENST00000399702
RPL23AP3	ENST00000453844
ST7-OT4	ENST00000397750
SIGLEC7	ENST00000317643
RP11-105N14.2	ENST00000606960
RP11-293P20.4	ENST00000429191
GPR21	ENST00000373642
RP1-213J1P__B.2	ENST00000422833
OR3A1	ENST00000323404
RBPMS-AS1	ENST00000519753
OC90	ENST00000254627
OC90	ENST00000262283
RP5-1033H2.1	ENST00000603646
RP11-632K5.3	ENST00000502071
AC107072.2	ENST00000425645
TSNAXIP1	ENST00000561639
RP11-107G24.3	ENST00000414775
MIR4255	ENST00000579351
SLC30A2	ENST00000374276
PRDX2	ENST00000301522
ZNF415	ENST00000448501
MIR548AT	ENST00000578714
Metazoa_SRP	ENST00000579570
Metazoa_SRP	ENST00000580064
Metazoa_SRP	ENST00000577803
Metazoa_SRP	ENST00000521051
Metazoa_SRP	ENST00000579430
Metazoa_SRP	ENST00000578047
Metazoa_SRP	ENST00000579320
Metazoa_SRP	ENST00000583330
Metazoa_SRP	ENST00000584690
Metazoa_SRP	ENST00000575846
Metazoa_SRP	ENST00000581105
Metazoa_SRP	ENST00000576118
Metazoa_SRP	ENST00000572049
Metazoa_SRP	ENST00000602902
Metazoa_SRP	ENST00000581053
Metazoa_SRP	ENST00000581222
Metazoa_SRP	ENST00000584187
Metazoa_SRP	ENST00000580041
Metazoa_SRP	ENST00000580411
Metazoa_SRP	ENST00000577251
Metazoa_SRP	ENST00000607480
Metazoa_SRP	ENST00000606353
Metazoa_SRP	ENST00000578075
Metazoa_SRP	ENST00000580076
Metazoa_SRP	ENST00000577196
Metazoa_SRP	ENST00000584009
Metazoa_SRP	ENST00000583838
Metazoa_SRP	ENST00000577318
Metazoa_SRP	ENST00000582342
